Posicion,Trabajo,Maquina,Inicio,Fin,Duracion
1,J1,M1,0,333,333
1,J1,M2,333,1324,991
1,J1,M3,1324,2320,996
1,J1,M4,2320,2443,123
1,J1,M5,2443,2588,145
1,J1,M6,2588,2822,234
2,J2,M1,333,666,333
2,J2,M2,1324,1435,111
2,J2,M3,2320,2983,663
2,J2,M4,2983,3439,456
2,J2,M5,3439,4224,785
2,J2,M6,4224,4756,532
3,J3,M1,666,918,252
3,J3,M2,1435,1657,222
3,J3,M3,2983,3205,222
3,J3,M4,3439,4228,789
3,J3,M5,4228,4442,214
3,J3,M6,4756,5342,586
4,J4,M1,918,1140,222
4,J4,M2,1657,1861,204
4,J4,M3,3205,3319,114
4,J4,M4,4228,5104,876
4,J4,M5,5104,5856,752
4,J4,M6,5856,6388,532
5,J5,M1,1140,1395,255
5,J5,M2,1861,2338,477
5,J5,M3,3319,3442,123
5,J5,M4,5104,5647,543
5,J5,M5,5856,5999,143
5,J5,M6,6388,6530,142
6,J6,M1,1395,1950,555
6,J6,M2,2338,2904,566
6,J6,M3,3442,3898,456
6,J6,M4,5647,5857,210
6,J6,M5,5999,6697,698
6,J6,M6,6697,7270,573
7,J7,M1,1950,2508,558
7,J7,M2,2904,3803,899
7,J7,M3,3898,4687,789
7,J7,M4,5857,5981,124
7,J7,M5,6697,7229,532
7,J7,M6,7270,7282,12
8,J8,M1,2508,3396,888
8,J8,M2,3803,4768,965
8,J8,M3,4768,5644,876
8,J8,M4,5981,6518,537
8,J8,M5,7229,7374,145
8,J8,M6,7374,7388,14
9,J9,M1,3396,4285,889
9,J9,M2,4768,5356,588
9,J9,M3,5644,6187,543
9,J9,M4,6518,7372,854
9,J9,M5,7374,7621,247
9,J9,M6,7621,8148,527
10,J10,M1,4285,5284,999
10,J10,M2,5356,6245,889
10,J10,M3,6245,6455,210
10,J10,M4,7372,8004,632
10,J10,M5,8004,8455,451
10,J10,M6,8455,9311,856
