Iteracion,MejorMakespan
1,8421
2,8373
3,8252
4,8047
5,8047
6,8047
7,8035
8,7866
9,7843
10,7843
11,7843
12,7843
13,7843
14,7843
15,7843
16,7843
17,7843
18,7843
19,7750
20,7750
21,7750
22,7750
23,7750
24,7750
25,7750
26,7750
27,7750
28,7750
29,7750
30,7750
31,7750
32,7750
33,7750
34,7750
35,7750
36,7750
37,7750
38,7750
39,7750
40,7750
41,7750
42,7750
43,7750
44,7750
45,7738
46,7738
47,7738
48,7738
49,7738
50,7738
51,7738
52,7738
53,7738
54,7738
55,7738
56,7738
57,7738
58,7738
59,7738
60,7738
61,7738
62,7738
63,7738
64,7738
65,7738
66,7738
67,7738
68,7738
69,7738
70,7738
71,7738
72,7738
73,7738
74,7738
75,7738
76,7738
77,7738
78,7738
79,7738
80,7738
81,7738
82,7738
83,7738
84,7738
85,7738
86,7738
87,7738
88,7738
89,7738
90,7738
91,7738
92,7738
93,7738
94,7738
95,7738
96,7738
97,7738
98,7738
99,7738
100,7738
101,7738
102,7738
103,7738
104,7738
105,7738
106,7738
107,7738
108,7738
109,7738
110,7738
111,7738
112,7738
113,7738
114,7738
115,7738
116,7738
117,7738
118,7738
119,7738
120,7738
121,7738
122,7738
123,7738
124,7738
125,7738
126,7738
127,7738
128,7738
129,7738
130,7738
131,7738
132,7738
133,7738
134,7738
135,7738
136,7738
137,7738
138,7738
139,7738
140,7738
141,7738
142,7738
143,7738
144,7738
145,7738
146,7738
147,7738
148,7738
149,7738
150,7738
151,7738
152,7738
153,7738
154,7738
155,7738
156,7738
157,7738
158,7738
159,7738
160,7738
161,7738
162,7738
163,7738
164,7738
165,7738
166,7738
167,7738
168,7738
169,7738
170,7738
171,7738
172,7738
173,7738
174,7738
175,7738
176,7738
177,7738
178,7738
179,7738
180,7738
181,7738
182,7738
183,7738
184,7738
185,7738
186,7738
187,7738
188,7738
189,7738
190,7738
191,7738
192,7738
193,7738
194,7738
195,7738
196,7738
197,7738
198,7738
199,7738
200,7738
