Posicion,Trabajo,Maquina,Inicio,Fin,Duracion
1,J6,M1,0,555,555
1,J6,M2,555,1121,566
1,J6,M3,1121,1577,456
1,J6,M4,1577,1787,210
1,J6,M5,1787,2485,698
1,J6,M6,2485,3058,573
2,J2,M1,555,888,333
2,J2,M2,1121,1232,111
2,J2,M3,1577,2240,663
2,J2,M4,2240,2696,456
2,J2,M5,2696,3481,785
2,J2,M6,3481,4013,532
3,J4,M1,888,1110,222
3,J4,M2,1232,1436,204
3,J4,M3,2240,2354,114
3,J4,M4,2696,3572,876
3,J4,M5,3572,4324,752
3,J4,M6,4324,4856,532
4,J1,M1,1110,1443,333
4,J1,M2,1443,2434,991
4,J1,M3,2434,3430,996
4,J1,M4,3572,3695,123
4,J1,M5,4324,4469,145
4,J1,M6,4856,5090,234
5,J3,M1,1443,1695,252
5,J3,M2,2434,2656,222
5,J3,M3,3430,3652,222
5,J3,M4,3695,4484,789
5,J3,M5,4484,4698,214
5,J3,M6,5090,5676,586
6,J8,M1,1695,2583,888
6,J8,M2,2656,3621,965
6,J8,M3,3652,4528,876
6,J8,M4,4528,5065,537
6,J8,M5,5065,5210,145
6,J8,M6,5676,5690,14
7,J10,M1,2583,3582,999
7,J10,M2,3621,4510,889
7,J10,M3,4528,4738,210
7,J10,M4,5065,5697,632
7,J10,M5,5697,6148,451
7,J10,M6,6148,7004,856
8,J9,M1,3582,4471,889
8,J9,M2,4510,5098,588
8,J9,M3,5098,5641,543
8,J9,M4,5697,6551,854
8,J9,M5,6551,6798,247
8,J9,M6,7004,7531,527
9,J7,M1,4471,5029,558
9,J7,M2,5098,5997,899
9,J7,M3,5997,6786,789
9,J7,M4,6786,6910,124
9,J7,M5,6910,7442,532
9,J7,M6,7531,7543,12
10,J5,M1,5029,5284,255
10,J5,M2,5997,6474,477
10,J5,M3,6786,6909,123
10,J5,M4,6910,7453,543
10,J5,M5,7453,7596,143
10,J5,M6,7596,7738,142
