Iteracion,MejorMakespan
1,1427
2,1423
3,1423
4,1422
5,1421
6,1421
7,1409
8,1407
9,1398
10,1398
11,1383
12,1367
13,1367
14,1367
15,1367
16,1367
17,1367
18,1349
19,1349
20,1349
21,1343
22,1343
23,1343
24,1343
25,1341
26,1341
27,1341
28,1341
29,1341
30,1341
31,1341
32,1341
33,1341
34,1341
35,1341
36,1341
37,1341
38,1341
39,1341
40,1341
41,1341
42,1341
43,1341
44,1341
45,1341
46,1341
47,1341
48,1341
49,1341
50,1341
51,1341
52,1341
53,1341
54,1341
55,1341
56,1331
57,1331
58,1328
59,1328
60,1328
61,1328
62,1328
63,1326
64,1326
65,1326
66,1326
67,1326
68,1318
69,1318
70,1318
71,1318
72,1318
73,1318
74,1318
75,1314
76,1314
77,1314
78,1314
79,1314
80,1314
81,1314
82,1314
83,1314
84,1314
85,1314
86,1314
87,1314
88,1314
89,1314
90,1314
91,1314
92,1314
93,1314
94,1314
95,1314
96,1314
97,1314
98,1314
99,1314
100,1314
101,1314
102,1310
103,1310
104,1310
105,1310
106,1310
107,1310
108,1310
109,1310
110,1310
111,1310
112,1310
113,1310
114,1310
115,1310
116,1310
117,1310
118,1310
119,1310
120,1310
121,1310
122,1310
123,1310
124,1310
125,1310
126,1310
127,1310
128,1310
129,1310
130,1310
131,1310
132,1310
133,1310
134,1310
135,1310
136,1310
137,1310
138,1310
139,1310
140,1310
141,1310
142,1310
143,1310
144,1310
145,1310
146,1310
147,1310
148,1310
149,1310
150,1310
151,1310
152,1310
153,1310
154,1310
155,1310
156,1310
157,1310
158,1310
159,1310
160,1310
161,1310
162,1310
163,1310
164,1310
165,1310
166,1310
167,1310
168,1310
169,1310
170,1310
171,1310
172,1310
173,1310
174,1310
175,1310
176,1310
177,1310
178,1310
179,1310
180,1310
181,1310
182,1310
183,1310
184,1310
185,1310
186,1310
187,1310
188,1310
189,1310
190,1310
191,1308
192,1308
193,1308
194,1308
195,1308
196,1308
197,1308
198,1308
199,1308
200,1308
