Posicion,Trabajo,Maquina,Inicio,Fin,Duracion
1,J6,M1,0,1,1
1,J6,M2,1,43,42
1,J6,M3,43,63,20
1,J6,M4,63,153,90
1,J6,M5,153,176,23
2,J17,M1,1,80,79
2,J17,M2,80,102,22
2,J17,M3,102,179,77
2,J17,M4,179,253,74
2,J17,M5,253,348,95
3,J11,M1,80,105,25
3,J11,M2,105,164,59
3,J11,M3,179,267,88
3,J11,M4,267,354,87
3,J11,M5,354,394,40
4,J9,M1,105,116,11
4,J9,M2,164,227,63
4,J9,M3,267,291,24
4,J9,M4,354,370,16
4,J9,M5,394,483,89
5,J2,M1,116,190,74
5,J2,M2,227,248,21
5,J2,M3,291,374,83
5,J2,M4,374,426,52
5,J2,M5,483,573,90
6,J15,M1,190,225,35
6,J15,M2,248,305,57
6,J15,M3,374,452,78
6,J15,M4,452,551,99
6,J15,M5,573,653,80
7,J13,M1,225,283,58
7,J13,M2,305,381,76
7,J13,M3,452,523,71
7,J13,M4,551,633,82
7,J13,M5,653,747,94
8,J4,M1,283,380,97
8,J4,M2,381,417,36
8,J4,M3,523,594,71
8,J4,M4,633,701,68
8,J4,M5,747,828,81
9,J1,M1,380,385,5
9,J1,M2,417,493,76
9,J1,M3,594,668,74
9,J1,M4,701,800,99
9,J1,M5,828,854,26
10,J16,M1,385,455,70
10,J16,M2,493,569,76
10,J16,M3,668,721,53
10,J16,M4,800,802,2
10,J16,M5,854,873,19
11,J14,M1,455,534,79
11,J14,M2,569,617,48
11,J14,M3,721,741,20
11,J14,M4,802,865,63
11,J14,M5,873,970,97
12,J20,M1,534,584,50
12,J20,M2,617,705,88
12,J20,M3,741,787,46
12,J20,M4,865,928,63
12,J20,M5,970,1046,76
13,J10,M1,584,671,87
13,J10,M2,705,757,52
13,J10,M3,787,830,43
13,J10,M4,928,938,10
13,J10,M5,1046,1072,26
14,J12,M1,671,721,50
14,J12,M2,757,799,42
14,J12,M3,830,902,72
14,J12,M4,938,1015,77
14,J12,M5,1072,1101,29
15,J5,M1,721,808,87
15,J5,M2,808,894,86
15,J5,M3,902,966,64
15,J5,M4,1015,1026,11
15,J5,M5,1101,1132,31
16,J8,M1,808,877,69
16,J8,M2,894,906,12
16,J8,M3,966,1020,54
16,J8,M4,1026,1106,80
16,J8,M5,1132,1148,16
17,J18,M1,877,911,34
17,J18,M2,911,1010,99
17,J18,M3,1020,1069,49
17,J18,M4,1106,1109,3
17,J18,M5,1148,1209,61
18,J19,M1,911,948,37
18,J19,M2,1010,1034,24
18,J19,M3,1069,1101,32
18,J19,M4,1109,1144,35
18,J19,M5,1209,1213,4
19,J3,M1,948,1015,67
19,J3,M2,1034,1082,48
19,J3,M3,1101,1107,6
19,J3,M4,1144,1210,66
19,J3,M5,1213,1251,38
20,J7,M1,1015,1084,69
20,J7,M2,1084,1116,32
20,J7,M3,1116,1215,99
20,J7,M4,1215,1241,26
20,J7,M5,1251,1308,57
