Trabajo,M1,M2,M3,M4,M5
J6,1,43,63,153,176
J17,80,102,179,253,348
J11,105,164,267,354,394
J9,116,227,291,370,483
J2,190,248,374,426,573
J15,225,305,452,551,653
J13,283,381,523,633,747
J4,380,417,594,701,828
J1,385,493,668,800,854
J16,455,569,721,802,873
J14,534,617,741,865,970
J20,584,705,787,928,1046
J10,671,757,830,938,1072
J12,721,799,902,1015,1101
J5,808,894,966,1026,1132
J8,877,906,1020,1106,1148
J18,911,1010,1069,1109,1209
J19,948,1034,1101,1144,1213
J3,1015,1082,1107,1210,1251
J7,1084,1116,1215,1241,1308
